timestamp,open,high,low,close,volume
2024-03-15,6386.6001,6578.7002,6360.3501,6513.2002,51876
2024-03-14,6455.1001,6470.0000,6300.6499,6392.1001,19172
2024-03-13,6434.1001,6515.0000,6390.0498,6455.2500,22900
2024-03-12,6412.0000,6483.2500,6343.2002,6434.1001,44397
2024-03-11,6555.5000,6555.5000,6406.0000,6456.2002,30125
2024-03-07,6350.0000,6467.2998,6330.5498,6419.2998,104593
2024-03-06,6326.3501,6347.1499,6190.0000,6311.2500,138896
2024-03-05,6588.2500,6635.0000,6275.0000,6325.2500,73014
2024-03-04,6586.3501,6638.0000,6560.0000,6600.4502,24162
2024-03-01,6519.9502,6607.0000,6503.0000,6571.0000,38718
