timestamp,open,high,low,close,volume
2024-04-02,1466.6000,1494.6500,1465.5000,1479.9500,288918
2024-04-01,1459.0000,1473.2500,1456.1000,1470.1500,781302
2024-03-28,1440.0000,1459.7000,1440.0000,1448.2000,1170187
2024-03-27,1423.9000,1446.9500,1421.0500,1440.7000,923355
2024-03-26,1428.7500,1438.5000,1422.1000,1426.9000,1056158
2024-03-22,1437.3000,1450.7000,1437.3000,1442.9500,783356
2024-03-21,1440.0500,1450.9000,1438.2500,1445.1000,727949
2024-03-20,1448.8000,1451.6000,1424.7500,1431.1000,211454
2024-03-19,1432.4000,1451.8500,1432.4000,1448.9500,478463
2024-03-18,1447.9500,1455.9500,1436.0000,1446.2000,339053
2024-03-15,1451.9500,1459.4500,1441.7000,1452.2000,1591334
2024-03-14,1460.1000,1465.0000,1444.2000,1455.8000,563462
2024-03-13,1464.9500,1471.4000,1450.3500,1460.1000,1437480
2024-03-12,1431.6500,1463.8500,1429.5000,1459.9000,579792
2024-03-11,1429.5000,1446.3000,1423.1000,1427.0500,907822
2024-03-07,1446.8000,1450.9500,1441.2500,1446.3500,824269
2024-03-06,1432.0000,1452.3000,1432.0000,1441.8500,837487
2024-03-05,1422.9500,1442.9500,1422.1000,1441.1000,411294
2024-03-04,1432.4000,1437.0000,1424.0000,1432.2000,646742
2024-03-01,1402.2000,1433.1500,1400.2000,1431.1500,535918
